dummy2, 'En fin insert here', Denmark, 768, M, 1029, 597, Yellow, 179, 2
QM, 'En fin insert here', Norway, 606, S, 1384, 589, Blue, 186, 3
QM, 'En fin insert here', Norway, 458, M, 220, 503, Yellow, 48, 3
HM, 'En fin insert here', Sweden, 540, XXL, 1621, 804, Purple, 160, 2
Cubus, 'En fin insert here', New Zealand, 616, XL, 1833, 210, Pink, 80, 1
dummy1, 'En fin insert here', Finland, 909, L, 1952, 766, Green, 106, 3
HM, 'En fin insert here', Sweden, 646, XL, 999, 529, Green, 66, 3
dummy1, 'En fin insert here', New Zealand, 583, SX, 184, 773, Yellow, 11, 1
dummy1, 'En fin insert here', Finland, 645, XL, 205, 752, Pink, 101, 1
dummy2, 'En fin insert here', Sweden, 262, L, 631, 681, Blue, 36, 2
dummy1, 'En fin insert here', Norway, 946, XXL, 1794, 390, Cyan, 112, 3
dummy1, 'En fin insert here', Norway, 634, XXL, 249, 1009, Pink, 26, 1
dummy2, 'En fin insert here', Sweden, 1195, S, 1256, 132, Green, 65, 3
HM, 'En fin insert here', New Zealand, 906, S, 752, 455, Yellow, 117, 2
HM, 'En fin insert here', Sweden, 404, L, 516, 280, Purple, 58, 1
HM, 'En fin insert here', Sweden, 1144, M, 1530, 148, Blue, 153, 2
dummy2, 'En fin insert here', Denmark, 882, XL, 1529, 537, Pink, 198, 2
QM, 'En fin insert here', Germany, 1159, M, 1291, 178, Pink, 82, 1
QM, 'En fin insert here', Denmark, 215, S, 426, 653, Green, 194, 3
HM, 'En fin insert here', Finland, 397, XXL, 1073, 423, Green, 78, 1
dummy1, 'En fin insert here', New Zealand, 637, L, 603, 80, Cyan, 176, 1
HM, 'En fin insert here', Sweden, 909, XXL, 1305, 565, Cyan, 81, 3
QM, 'En fin insert here', Germany, 734, L, 1278, 1047, Blue, 167, 1
QM, 'En fin insert here', New Zealand, 893, XXL, 240, 749, Green, 43, 1
dummy1, 'En fin insert here', Finland, 1066, L, 1119, 882, Pink, 143, 1
dummy2, 'En fin insert here', Denmark, 688, M, 1537, 1034, Cyan, 38, 1
dummy2, 'En fin insert here', Denmark, 1192, M, 1462, 367, Purple, 144, 3
HM, 'En fin insert here', Finland, 1002, S, 1888, 407, Purple, 10, 1
dummy2, 'En fin insert here', Finland, 883, L, 1957, 670, Pink, 6, 3
dummy2, 'En fin insert here', Germany, 302, L, 1575, 495, Yellow, 26, 1
dummy1, 'En fin insert here', Finland, 584, L, 1317, 726, Cyan, 180, 2
dummy2, 'En fin insert here', Norway, 333, XXL, 1718, 184, Yellow, 59, 3
dummy1, 'En fin insert here', Denmark, 858, S, 1871, 576, Yellow, 67, 2
QM, 'En fin insert here', New Zealand, 298, SX, 681, 739, Green, 164, 3
dummy2, 'En fin insert here', Denmark, 285, XL, 2008, 850, Pink, 179, 3
HM, 'En fin insert here', Sweden, 499, SX, 1636, 518, Pink, 77, 2
dummy1, 'En fin insert here', Germany, 235, M, 1201, 463, Blue, 56, 3
HM, 'En fin insert here', Sweden, 760, SX, 383, 960, Yellow, 138, 3
Cubus, 'En fin insert here', New Zealand, 1091, M, 373, 696, Green, 74, 1
QM, 'En fin insert here', Sweden, 641, M, 356, 225, Green, 139, 3
QM, 'En fin insert here', Norway, 399, SX, 1974, 728, Green, 187, 3
Cubus, 'En fin insert here', Norway, 439, SX, 1009, 521, Green, 7, 1
HM, 'En fin insert here', Germany, 1084, XXL, 1597, 458, Blue, 14, 3
dummy2, 'En fin insert here', Sweden, 872, L, 1741, 479, Blue, 147, 1
Cubus, 'En fin insert here', Denmark, 857, M, 118, 931, Green, 61, 3
HM, 'En fin insert here', Finland, 318, M, 798, 846, Blue, 138, 1
dummy1, 'En fin insert here', Sweden, 554, L, 1463, 487, Cyan, 106, 2
Cubus, 'En fin insert here', Denmark, 427, SX, 1449, 996, Blue, 190, 3
dummy1, 'En fin insert here', Denmark, 912, XL, 1041, 660, Pink, 182, 2
dummy2, 'En fin insert here', Sweden, 888, S, 1455, 321, Cyan, 85, 3
dummy2, 'En fin insert here', Denmark, 526, S, 880, 1018, Blue, 80, 2
QM, 'En fin insert here', New Zealand, 840, SX, 1345, 612, Cyan, 64, 1
dummy2, 'En fin insert here', Sweden, 251, S, 667, 430, Purple, 117, 1
QM, 'En fin insert here', Denmark, 1177, XXL, 1935, 248, Yellow, 108, 2
dummy1, 'En fin insert here', Germany, 456, SX, 284, 903, Yellow, 175, 2
HM, 'En fin insert here', Denmark, 1167, L, 657, 605, Yellow, 114, 2
dummy2, 'En fin insert here', Germany, 623, XXL, 246, 932, Green, 181, 2
HM, 'En fin insert here', Finland, 750, SX, 1441, 436, Blue, 12, 2
QM, 'En fin insert here', Germany, 973, SX, 1899, 611, Purple, 90, 1
Cubus, 'En fin insert here', Sweden, 946, XXL, 1986, 456, Yellow, 118, 1
dummy1, 'En fin insert here', Sweden, 639, SX, 1981, 886, Yellow, 148, 1
dummy1, 'En fin insert here', Norway, 647, M, 1499, 718, Purple, 148, 3
QM, 'En fin insert here', Finland, 669, XXL, 1124, 453, Pink, 96, 3
HM, 'En fin insert here', Sweden, 216, SX, 75, 267, Cyan, 111, 2
dummy2, 'En fin insert here', Norway, 589, XL, 592, 359, Pink, 68, 2
dummy1, 'En fin insert here', Denmark, 1189, M, 741, 541, Pink, 7, 3
QM, 'En fin insert here', New Zealand, 569, M, 2062, 383, Pink, 63, 1
Cubus, 'En fin insert here', Germany, 875, XXL, 922, 913, Yellow, 7, 2
HM, 'En fin insert here', New Zealand, 516, S, 1206, 77, Cyan, 115, 2
Cubus, 'En fin insert here', Sweden, 884, SX, 1625, 168, Purple, 169, 1
dummy1, 'En fin insert here', Sweden, 233, S, 149, 758, Blue, 180, 2
QM, 'En fin insert here', Germany, 694, SX, 1228, 826, Yellow, 66, 1
QM, 'En fin insert here', Finland, 784, XXL, 739, 605, Cyan, 13, 2
dummy1, 'En fin insert here', Finland, 910, L, 1314, 841, Blue, 49, 3
dummy1, 'En fin insert here', Sweden, 238, XL, 1874, 879, Purple, 83, 2
dummy1, 'En fin insert here', Norway, 811, L, 605, 670, Pink, 105, 3
QM, 'En fin insert here', Sweden, 316, XL, 552, 386, Yellow, 151, 1
HM, 'En fin insert here', Finland, 211, L, 556, 726, Yellow, 167, 3
dummy1, 'En fin insert here', Norway, 634, L, 654, 280, Yellow, 114, 2
dummy1, 'En fin insert here', Norway, 750, S, 196, 148, Pink, 1, 3
dummy2, 'En fin insert here', Denmark, 1160, XL, 1481, 204, Cyan, 128, 3
QM, 'En fin insert here', Germany, 312, SX, 904, 666, Cyan, 68, 3
dummy2, 'En fin insert here', Sweden, 1139, S, 805, 1024, Pink, 124, 1
dummy1, 'En fin insert here', New Zealand, 583, XL, 1990, 1003, Purple, 197, 1
QM, 'En fin insert here', Finland, 1196, M, 291, 710, Pink, 24, 3
dummy2, 'En fin insert here', Denmark, 278, XXL, 188, 449, Green, 45, 3
QM, 'En fin insert here', New Zealand, 300, SX, 427, 823, Green, 61, 1
Cubus, 'En fin insert here', Finland, 572, M, 1886, 736, Purple, 53, 2
QM, 'En fin insert here', Sweden, 392, S, 1788, 224, Purple, 114, 3
dummy1, 'En fin insert here', Sweden, 846, S, 1915, 980, Purple, 177, 3
Cubus, 'En fin insert here', Norway, 723, M, 892, 486, Cyan, 86, 2
dummy2, 'En fin insert here', Finland, 590, S, 1606, 459, Yellow, 66, 3
HM, 'En fin insert here', Sweden, 455, XXL, 762, 631, Blue, 15, 2
QM, 'En fin insert here', Denmark, 1035, M, 1773, 414, Cyan, 66, 1
HM, 'En fin insert here', Denmark, 783, XL, 729, 357, Pink, 137, 1
dummy2, 'En fin insert here', Germany, 967, XXL, 1865, 90, Purple, 17, 1
HM, 'En fin insert here', Germany, 665, L, 491, 124, Purple, 54, 1
dummy2, 'En fin insert here', Norway, 1005, SX, 1332, 784, Purple, 121, 3
dummy1, 'En fin insert here', Denmark, 320, SX, 423, 696, Purple, 89, 1
dummy1, 'En fin insert here', New Zealand, 1156, S, 1313, 328, Cyan, 41, 1
QM, 'En fin insert here', Sweden, 293, XL, 959, 847, Green, 88, 1
HM, 'En fin insert here', Germany, 962, XXL, 1135, 983, Green, 181, 1
QM, 'En fin insert here', Denmark, 579, M, 397, 85, Cyan, 98, 1
HM, 'En fin insert here', Sweden, 821, M, 78, 882, Yellow, 12, 1
dummy2, 'En fin insert here', Germany, 831, SX, 853, 235, Cyan, 199, 1
HM, 'En fin insert here', Finland, 532, S, 929, 98, Pink, 4, 1
QM, 'En fin insert here', New Zealand, 501, M, 96, 978, Purple, 75, 1
Cubus, 'En fin insert here', Sweden, 424, M, 2017, 102, Yellow, 105, 2
Cubus, 'En fin insert here', New Zealand, 1113, L, 1724, 834, Purple, 30, 2
HM, 'En fin insert here', New Zealand, 552, S, 506, 343, Yellow, 136, 2
HM, 'En fin insert here', Finland, 911, L, 1286, 497, Blue, 94, 2
dummy1, 'En fin insert here', Germany, 629, L, 1140, 207, Pink, 175, 1
Cubus, 'En fin insert here', Sweden, 682, M, 755, 620, Yellow, 14, 3
dummy2, 'En fin insert here', Denmark, 573, XXL, 443, 658, Green, 177, 1
dummy2, 'En fin insert here', New Zealand, 653, XXL, 1631, 902, Green, 79, 3
HM, 'En fin insert here', Norway, 438, SX, 256, 109, Pink, 8, 3
dummy2, 'En fin insert here', Germany, 1002, L, 1503, 415, Purple, 6, 3
HM, 'En fin insert here', Denmark, 385, XXL, 982, 455, Purple, 14, 1
HM, 'En fin insert here', Finland, 518, L, 551, 1056, Blue, 173, 1
HM, 'En fin insert here', Germany, 522, M, 129, 927, Blue, 142, 1
dummy2, 'En fin insert here', Germany, 1094, XXL, 1231, 886, Pink, 71, 1
HM, 'En fin insert here', Norway, 340, SX, 491, 470, Green, 164, 3
dummy1, 'En fin insert here', Sweden, 1168, L, 111, 414, Blue, 14, 3
dummy2, 'En fin insert here', Finland, 308, XXL, 2009, 733, Green, 182, 3
dummy1, 'En fin insert here', Norway, 783, M, 1063, 483, Purple, 192, 3
dummy1, 'En fin insert here', Denmark, 577, M, 292, 202, Blue, 118, 2
QM, 'En fin insert here', Denmark, 841, XXL, 1175, 1066, Purple, 160, 1
dummy1, 'En fin insert here', Norway, 645, S, 138, 918, Green, 37, 2
QM, 'En fin insert here', Finland, 649, L, 77, 440, Purple, 100, 2
Cubus, 'En fin insert here', New Zealand, 1049, SX, 569, 947, Cyan, 165, 3
Cubus, 'En fin insert here', Sweden, 551, XXL, 458, 102, Pink, 195, 3
HM, 'En fin insert here', Denmark, 604, L, 1735, 871, Purple, 96, 3
dummy1, 'En fin insert here', Germany, 1085, M, 159, 578, Purple, 100, 1
HM, 'En fin insert here', Denmark, 1093, L, 210, 115, Pink, 62, 1
Cubus, 'En fin insert here', Denmark, 270, S, 726, 614, Purple, 107, 2
dummy1, 'En fin insert here', New Zealand, 696, XXL, 325, 971, Yellow, 84, 2
dummy2, 'En fin insert here', Finland, 534, S, 1354, 705, Purple, 75, 3
HM, 'En fin insert here', Germany, 950, XL, 1313, 161, Cyan, 136, 2
QM, 'En fin insert here', Germany, 523, XL, 1626, 751, Green, 14, 2
QM, 'En fin insert here', Finland, 240, M, 581, 604, Yellow, 135, 1
dummy2, 'En fin insert here', Norway, 991, M, 1292, 142, Green, 42, 1
HM, 'En fin insert here', Denmark, 1123, SX, 1726, 297, Yellow, 48, 1
dummy1, 'En fin insert here', Norway, 547, XXL, 1353, 920, Cyan, 27, 2
HM, 'En fin insert here', Finland, 1059, XL, 504, 463, Yellow, 104, 3
QM, 'En fin insert here', New Zealand, 707, XXL, 828, 185, Purple, 143, 1
HM, 'En fin insert here', Norway, 413, XL, 1996, 185, Green, 51, 3
HM, 'En fin insert here', Sweden, 349, S, 341, 1067, Cyan, 94, 1
HM, 'En fin insert here', Norway, 403, S, 1684, 672, Yellow, 62, 2
dummy1, 'En fin insert here', Finland, 267, SX, 1004, 593, Green, 23, 3
dummy1, 'En fin insert here', Sweden, 918, XL, 471, 633, Green, 178, 2
dummy1, 'En fin insert here', Norway, 473, S, 602, 550, Cyan, 160, 1
HM, 'En fin insert here', Norway, 300, XXL, 1000, 927, Yellow, 199, 3
dummy2, 'En fin insert here', Denmark, 224, SX, 803, 82, Cyan, 156, 3
dummy1, 'En fin insert here', Norway, 1044, M, 1044, 349, Purple, 175, 2
QM, 'En fin insert here', Denmark, 412, SX, 1081, 669, Pink, 158, 2
dummy2, 'En fin insert here', Norway, 549, S, 650, 462, Green, 170, 2
HM, 'En fin insert here', Finland, 729, SX, 406, 243, Cyan, 166, 3
Cubus, 'En fin insert here', New Zealand, 403, XXL, 580, 771, Yellow, 135, 3
dummy1, 'En fin insert here', Finland, 1003, M, 1352, 787, Cyan, 18, 1
QM, 'En fin insert here', Germany, 713, SX, 429, 796, Pink, 45, 2
Cubus, 'En fin insert here', Finland, 365, S, 1845, 1032, Yellow, 92, 2
dummy1, 'En fin insert here', Denmark, 1125, XXL, 502, 172, Green, 193, 1
dummy2, 'En fin insert here', Denmark, 382, XL, 419, 162, Yellow, 129, 1
Cubus, 'En fin insert here', Finland, 314, L, 889, 790, Pink, 99, 1
dummy1, 'En fin insert here', Sweden, 902, SX, 327, 511, Green, 198, 3
QM, 'En fin insert here', Norway, 770, M, 80, 532, Pink, 167, 3
HM, 'En fin insert here', Germany, 1136, XXL, 577, 106, Pink, 110, 3
HM, 'En fin insert here', Norway, 605, SX, 392, 568, Green, 20, 2
QM, 'En fin insert here', Denmark, 211, XL, 567, 125, Yellow, 194, 1
HM, 'En fin insert here', Germany, 526, L, 179, 890, Yellow, 12, 3
dummy1, 'En fin insert here', Germany, 1111, XXL, 635, 281, Pink, 157, 2
QM, 'En fin insert here', Germany, 706, XL, 551, 763, Pink, 111, 2
QM, 'En fin insert here', Sweden, 211, XL, 998, 875, Green, 147, 1
Cubus, 'En fin insert here', Finland, 896, L, 1409, 1056, Green, 173, 2
dummy2, 'En fin insert here', Sweden, 457, XL, 971, 338, Yellow, 61, 3
dummy2, 'En fin insert here', Norway, 412, L, 301, 652, Purple, 138, 3
QM, 'En fin insert here', New Zealand, 572, XL, 1732, 761, Yellow, 191, 1
dummy1, 'En fin insert here', New Zealand, 1049, XL, 293, 456, Purple, 164, 2
HM, 'En fin insert here', Norway, 1061, SX, 705, 194, Yellow, 128, 1
HM, 'En fin insert here', Norway, 1081, M, 904, 935, Yellow, 171, 2
HM, 'En fin insert here', Denmark, 830, S, 1513, 1061, Blue, 171, 3
HM, 'En fin insert here', New Zealand, 788, XXL, 942, 1012, Cyan, 51, 2
Cubus, 'En fin insert here', Finland, 1042, L, 667, 850, Purple, 191, 2
HM, 'En fin insert here', Norway, 1106, XL, 1955, 649, Purple, 28, 3
HM, 'En fin insert here', Finland, 666, M, 212, 670, Cyan, 99, 2
Cubus, 'En fin insert here', Finland, 1031, SX, 284, 650, Yellow, 154, 1
QM, 'En fin insert here', Germany, 800, SX, 2066, 142, Blue, 74, 3
HM, 'En fin insert here', Denmark, 259, XXL, 1781, 918, Cyan, 151, 1
Cubus, 'En fin insert here', Norway, 719, L, 1359, 205, Cyan, 196, 1
QM, 'En fin insert here', Denmark, 517, L, 1489, 219, Pink, 163, 3
HM, 'En fin insert here', Norway, 1000, XL, 527, 1065, Purple, 136, 3
dummy2, 'En fin insert here', Germany, 516, XXL, 1175, 1034, Cyan, 119, 2
HM, 'En fin insert here', Sweden, 210, M, 373, 250, Green, 44, 3
QM, 'En fin insert here', New Zealand, 350, M, 1756, 1022, Pink, 1, 3
dummy1, 'En fin insert here', Germany, 953, XXL, 1742, 587, Blue, 65, 1
dummy1, 'En fin insert here', Denmark, 372, XL, 558, 639, Purple, 64, 3
QM, 'En fin insert here', Germany, 1020, XXL, 583, 218, Yellow, 78, 3
dummy1, 'En fin insert here', Sweden, 1192, XL, 288, 1052, Yellow, 118, 1
dummy1, 'En fin insert here', Norway, 214, XXL, 1924, 737, Pink, 10, 3
HM, 'En fin insert here', New Zealand, 804, XL, 2009, 578, Purple, 146, 1
HM, 'En fin insert here', Sweden, 1025, XXL, 1384, 215, Blue, 66, 3
HM, 'En fin insert here', Finland, 858, L, 623, 421, Yellow, 76, 1
QM, 'En fin insert here', Finland, 270, XL, 543, 840, Pink, 141, 2
HM, 'En fin insert here', Norway, 332, S, 980, 91, Pink, 199, 1
QM, 'En fin insert here', Denmark, 275, XXL, 1698, 890, Blue, 112, 2
Cubus, 'En fin insert here', Germany, 942, S, 422, 279, Purple, 57, 1
dummy2, 'En fin insert here', Sweden, 388, S, 1334, 786, Purple, 198, 3
dummy1, 'En fin insert here', Sweden, 1081, L, 1406, 1063, Purple, 20, 2
dummy1, 'En fin insert here', Germany, 653, SX, 867, 292, Yellow, 19, 2
QM, 'En fin insert here', Norway, 861, XXL, 651, 79, Blue, 97, 2
HM, 'En fin insert here', Denmark, 447, SX, 871, 564, Pink, 120, 2
dummy1, 'En fin insert here', Germany, 1199, SX, 1087, 954, Cyan, 40, 1
QM, 'En fin insert here', Norway, 885, XXL, 909, 453, Yellow, 169, 3
Cubus, 'En fin insert here', Germany, 464, L, 1210, 547, Green, 168, 1
HM, 'En fin insert here', Denmark, 580, SX, 1729, 1046, Cyan, 193, 2
Cubus, 'En fin insert here', Denmark, 1101, M, 663, 506, Pink, 78, 2
QM, 'En fin insert here', New Zealand, 322, SX, 763, 928, Purple, 57, 1
Cubus, 'En fin insert here', Finland, 707, L, 618, 715, Pink, 121, 1
Cubus, 'En fin insert here', New Zealand, 1129, M, 479, 181, Blue, 64, 1
QM, 'En fin insert here', Finland, 965, M, 982, 859, Blue, 102, 2
Cubus, 'En fin insert here', Finland, 1114, S, 839, 132, Cyan, 14, 2
Cubus, 'En fin insert here', Norway, 633, XL, 1105, 331, Blue, 93, 1
dummy2, 'En fin insert here', New Zealand, 836, L, 1828, 987, Blue, 7, 1
dummy2, 'En fin insert here', Sweden, 1161, SX, 1262, 631, Purple, 98, 1
Cubus, 'En fin insert here', Finland, 966, XXL, 1844, 243, Blue, 182, 1
HM, 'En fin insert here', Sweden, 489, SX, 1399, 338, Cyan, 192, 2
Cubus, 'En fin insert here', Denmark, 873, XXL, 1256, 430, Purple, 17, 2
QM, 'En fin insert here', Norway, 1038, XL, 1588, 137, Pink, 13, 2
dummy1, 'En fin insert here', Denmark, 522, XXL, 2038, 495, Green, 86, 3
Cubus, 'En fin insert here', Finland, 556, XXL, 137, 678, Blue, 59, 3
HM, 'En fin insert here', New Zealand, 306, SX, 1856, 659, Pink, 113, 1
dummy2, 'En fin insert here', Finland, 251, XL, 2043, 103, Pink, 91, 3
dummy1, 'En fin insert here', Finland, 565, XXL, 2066, 889, Blue, 193, 3
dummy1, 'En fin insert here', Denmark, 785, XXL, 773, 394, Green, 185, 3
Cubus, 'En fin insert here', Denmark, 235, XXL, 1237, 913, Green, 176, 3
QM, 'En fin insert here', New Zealand, 1195, XL, 944, 663, Blue, 74, 1
HM, 'En fin insert here', Denmark, 1019, SX, 2008, 1046, Cyan, 126, 1
QM, 'En fin insert here', Norway, 401, M, 1586, 541, Purple, 175, 2
dummy2, 'En fin insert here', Germany, 452, SX, 621, 355, Purple, 139, 3
dummy2, 'En fin insert here', Germany, 782, XL, 1928, 636, Cyan, 14, 3
HM, 'En fin insert here', Denmark, 1133, M, 400, 270, Green, 37, 3
dummy2, 'En fin insert here', Germany, 285, SX, 1093, 854, Purple, 38, 2
dummy2, 'En fin insert here', New Zealand, 563, XL, 1137, 317, Pink, 132, 1
HM, 'En fin insert here', Finland, 584, M, 1982, 551, Blue, 51, 1
dummy2, 'En fin insert here', Denmark, 575, XXL, 1195, 934, Cyan, 69, 1
QM, 'En fin insert here', Denmark, 671, L, 1765, 149, Purple, 135, 2
dummy1, 'En fin insert here', Norway, 538, L, 1133, 130, Purple, 137, 3
QM, 'En fin insert here', Sweden, 354, L, 1753, 466, Cyan, 162, 3
dummy2, 'En fin insert here', New Zealand, 1086, XXL, 341, 180, Purple, 139, 2
QM, 'En fin insert here', Norway, 499, L, 920, 976, Yellow, 91, 2
dummy2, 'En fin insert here', Norway, 318, XXL, 1144, 889, Green, 3, 1
QM, 'En fin insert here', Norway, 1181, L, 1728, 168, Pink, 79, 3
dummy2, 'En fin insert here', Finland, 1023, XXL, 1168, 333, Pink, 112, 3
dummy1, 'En fin insert here', Sweden, 940, M, 1750, 713, Green, 198, 2
Cubus, 'En fin insert here', Norway, 938, L, 246, 1029, Cyan, 49, 3
HM, 'En fin insert here', Finland, 230, L, 1408, 198, Yellow, 13, 3
HM, 'En fin insert here', Sweden, 961, M, 431, 610, Blue, 8, 2
HM, 'En fin insert here', Germany, 535, XL, 1419, 241, Cyan, 73, 3
Cubus, 'En fin insert here', New Zealand, 1129, S, 140, 261, Purple, 119, 1
dummy1, 'En fin insert here', Sweden, 453, S, 1743, 293, Cyan, 152, 1
dummy2, 'En fin insert here', Germany, 619, S, 2026, 370, Blue, 184, 1
dummy1, 'En fin insert here', Finland, 811, M, 1353, 839, Purple, 76, 2
Cubus, 'En fin insert here', Sweden, 600, SX, 1366, 1008, Yellow, 163, 3
HM, 'En fin insert here', Finland, 605, M, 1566, 336, Cyan, 166, 3
QM, 'En fin insert here', Denmark, 669, XL, 1796, 655, Blue, 14, 2
dummy2, 'En fin insert here', Norway, 796, XXL, 125, 146, Cyan, 81, 2
Cubus, 'En fin insert here', Sweden, 950, XL, 1588, 84, Yellow, 165, 3
QM, 'En fin insert here', Germany, 928, M, 1794, 163, Blue, 22, 2
dummy2, 'En fin insert here', New Zealand, 1048, XXL, 850, 276, Blue, 144, 2
QM, 'En fin insert here', Norway, 407, M, 855, 188, Green, 182, 3
dummy1, 'En fin insert here', Finland, 699, SX, 1187, 227, Yellow, 137, 2
HM, 'En fin insert here', Germany, 322, S, 1226, 668, Green, 11, 2
QM, 'En fin insert here', Sweden, 1086, XL, 1504, 488, Blue, 161, 2
QM, 'En fin insert here', Sweden, 411, XXL, 1737, 446, Green, 42, 1
Cubus, 'En fin insert here', New Zealand, 672, SX, 1339, 397, Blue, 104, 1
QM, 'En fin insert here', Denmark, 1069, M, 1032, 305, Blue, 7, 3
QM, 'En fin insert here', Denmark, 754, XXL, 547, 712, Yellow, 18, 2
dummy1, 'En fin insert here', New Zealand, 733, XXL, 875, 103, Purple, 14, 2
QM, 'En fin insert here', Germany, 1107, M, 1265, 601, Pink, 31, 3
HM, 'En fin insert here', New Zealand, 1144, XXL, 446, 902, Purple, 109, 3
Cubus, 'En fin insert here', Germany, 344, S, 262, 961, Cyan, 135, 3
HM, 'En fin insert here', New Zealand, 1183, XL, 1033, 666, Green, 36, 1
Cubus, 'En fin insert here', New Zealand, 791, XXL, 1841, 661, Purple, 185, 2
QM, 'En fin insert here', Sweden, 818, M, 914, 906, Purple, 28, 3
HM, 'En fin insert here', Denmark, 1195, XXL, 1937, 405, Cyan, 134, 2
QM, 'En fin insert here', Germany, 217, S, 1277, 202, Purple, 119, 2
HM, 'En fin insert here', Sweden, 528, M, 1874, 743, Blue, 160, 2
dummy1, 'En fin insert here', Sweden, 1009, L, 696, 264, Yellow, 20, 1
QM, 'En fin insert here', Denmark, 841, S, 726, 944, Green, 20, 1
HM, 'En fin insert here', Denmark, 1096, XXL, 2020, 100, Purple, 101, 1
QM, 'En fin insert here', Norway, 460, XXL, 1837, 858, Blue, 183, 3
HM, 'En fin insert here', Finland, 759, XXL, 1542, 602, Pink, 191, 2
Cubus, 'En fin insert here', Germany, 626, XXL, 1602, 725, Pink, 45, 3
Cubus, 'En fin insert here', Finland, 819, XL, 588, 847, Purple, 179, 1
HM, 'En fin insert here', Sweden, 1098, S, 1386, 719, Cyan, 163, 3
dummy2, 'En fin insert here', Norway, 231, XL, 579, 220, Cyan, 92, 1
Cubus, 'En fin insert here', Denmark, 383, S, 159, 500, Yellow, 20, 2
QM, 'En fin insert here', Sweden, 268, XXL, 1524, 676, Blue, 143, 3
Cubus, 'En fin insert here', Germany, 304, XXL, 1306, 383, Blue, 39, 3
Cubus, 'En fin insert here', Finland, 1179, XXL, 1895, 871, Yellow, 120, 3
HM, 'En fin insert here', Denmark, 527, M, 1890, 611, Cyan, 75, 3
dummy1, 'En fin insert here', Norway, 629, L, 1787, 792, Blue, 6, 1
dummy2, 'En fin insert here', Norway, 1160, XXL, 1904, 887, Purple, 43, 1
Cubus, 'En fin insert here', Finland, 513, XL, 1353, 628, Blue, 114, 3
dummy1, 'En fin insert here', Sweden, 457, XXL, 1459, 303, Cyan, 104, 1
Cubus, 'En fin insert here', Denmark, 582, SX, 267, 685, Blue, 24, 2
HM, 'En fin insert here', Germany, 317, S, 1362, 135, Purple, 166, 2
Cubus, 'En fin insert here', New Zealand, 814, L, 1424, 433, Purple, 121, 2
QM, 'En fin insert here', Sweden, 737, L, 1411, 107, Purple, 22, 2
HM, 'En fin insert here', Finland, 391, M, 2013, 746, Purple, 52, 1
HM, 'En fin insert here', New Zealand, 745, M, 1865, 500, Cyan, 142, 2
HM, 'En fin insert here', Finland, 970, SX, 1562, 340, Cyan, 42, 3
Cubus, 'En fin insert here', New Zealand, 271, S, 1911, 143, Blue, 171, 2
HM, 'En fin insert here', Finland, 704, XL, 916, 682, Blue, 92, 2
HM, 'En fin insert here', Finland, 443, XL, 1792, 420, Green, 141, 3
QM, 'En fin insert here', New Zealand, 654, XXL, 654, 754, Green, 136, 2
HM, 'En fin insert here', Sweden, 874, M, 1709, 417, Green, 64, 3
dummy2, 'En fin insert here', Finland, 541, XXL, 96, 944, Yellow, 141, 2
dummy2, 'En fin insert here', New Zealand, 244, XL, 1138, 535, Blue, 138, 1
QM, 'En fin insert here', Finland, 918, XXL, 1402, 89, Yellow, 68, 3
HM, 'En fin insert here', Denmark, 524, L, 1935, 877, Cyan, 26, 1
Cubus, 'En fin insert here', Denmark, 377, XL, 1904, 1068, Pink, 162, 3
dummy1, 'En fin insert here', Germany, 558, SX, 976, 210, Yellow, 41, 1
dummy1, 'En fin insert here', Norway, 847, SX, 528, 696, Purple, 16, 1
dummy1, 'En fin insert here', Norway, 746, XL, 1916, 480, Blue, 176, 2
QM, 'En fin insert here', Germany, 919, S, 1809, 145, Green, 156, 1
Cubus, 'En fin insert here', Sweden, 997, M, 275, 159, Blue, 17, 3
QM, 'En fin insert here', Denmark, 610, L, 773, 394, Yellow, 22, 1
Cubus, 'En fin insert here', Finland, 1046, SX, 511, 965, Pink, 81, 1
HM, 'En fin insert here', Sweden, 347, SX, 521, 258, Purple, 195, 2
Cubus, 'En fin insert here', Finland, 647, L, 1018, 141, Blue, 82, 2
QM, 'En fin insert here', Finland, 318, S, 1482, 326, Cyan, 91, 1
Cubus, 'En fin insert here', Denmark, 986, S, 638, 144, Purple, 162, 3
dummy2, 'En fin insert here', Norway, 537, SX, 1358, 943, Blue, 123, 1
dummy1, 'En fin insert here', Sweden, 1138, S, 1439, 392, Pink, 135, 2
dummy1, 'En fin insert here', Sweden, 1177, S, 92, 870, Purple, 84, 2
Cubus, 'En fin insert here', Denmark, 395, XL, 307, 165, Pink, 119, 2
dummy2, 'En fin insert here', Finland, 531, XL, 455, 387, Green, 191, 2
Cubus, 'En fin insert here', Norway, 726, S, 193, 94, Yellow, 12, 1
QM, 'En fin insert here', Germany, 949, XL, 1285, 493, Green, 170, 2
QM, 'En fin insert here', Norway, 1079, XXL, 740, 412, Pink, 25, 3
dummy1, 'En fin insert here', Finland, 1016, SX, 1461, 1047, Pink, 50, 3
dummy2, 'En fin insert here', Germany, 310, SX, 1388, 225, Pink, 101, 1
dummy1, 'En fin insert here', Sweden, 313, M, 1682, 756, Green, 111, 2
HM, 'En fin insert here', New Zealand, 952, XL, 1771, 708, Purple, 51, 3
Cubus, 'En fin insert here', Norway, 968, SX, 1977, 979, Blue, 115, 3
